"#","Product","Link","Brand","Sellers","Variations","Price","Category","Rank","Est. Sales","Est. Revenue","Reviews","Rating","FBA"
"2","GAP Men's Everyday Soft Crewneck T-Shirt Tee","http://www.amazon.com//dp/B0CCBWC2K3","Visit the GAP Store","1","74","$8.00","Clothing, Shoes &amp; Jewelry","2,412","421","$3,368","1,468 ","4.6","-"
"3","Disney Pixar Toy Story Pizza Planet Aliens T-Shirt","http://www.amazon.com//dp/B07THG628W","Visit the Disney Store","1","99","$22.99","Clothing, Shoes &amp; Jewelry","14,610","49","$1,127","1,051 ","4.6","-"
"4","Disney Pirates of the Caribbean Dead Men Tell No Tales T-Shirt","http://www.amazon.com//dp/B0B72CLD9S","Visit the Disney Store","1","103","$22.99","Clothing, Shoes &amp; Jewelry","33,604","25","$575","271 ","4.7","-"
"6","Disney Pixar Inside Out 2 Today I Feel... Vintage Panels T-Shirt","http://www.amazon.com//dp/B0D2YCZW59","Visit the Disney Store","1","148","$22.99","Clothing, Shoes &amp; Jewelry","24,078","31","$713","298 ","4.5","-"
"7","Disney Moana Hei Hei Boat Snack Vintage Style Poster T-Shirt","http://www.amazon.com//dp/B07KXDRPDZ","Visit the Disney Store","1","282","$22.99","Clothing, Shoes &amp; Jewelry","25,528","30","$690","760 ","4.7","-"
"8","Disney The Three Caballeros Donald Duck Vintage Distressed T-Shirt","http://www.amazon.com//dp/B0BT8HN4SS","Visit the Disney Store","1","401","$22.99","Clothing, Shoes &amp; Jewelry","33,027","25","$575","264 ","4.7","-"
"9","Disney Mickey And Friends Disney Squad T-Shirt","http://www.amazon.com//dp/B0856LYWD7","Visit the Disney Store","1","282","$22.99","Clothing, Shoes &amp; Jewelry","37,309","23","$529","1,068 ","4.5","-"
"10","Disney Fantasia Mickey Mouse Sorcerer’s Apprentice Retro T-Shirt","http://www.amazon.com//dp/B0C5S1GCNZ","Visit the Disney Store","1","441","$22.99","Clothing, Shoes &amp; Jewelry","37,684","23","$529","228 ","4.7","-"
"11","Disney Goofy Totally Rad Dad Father’s Day Surfing Distressed T-Shirt","http://www.amazon.com//dp/B0BXQNG2FV","Visit the Disney Store","1","574","$22.99","Clothing, Shoes &amp; Jewelry","57,039","19","$437","147 ","4.8","-"
"12","Disney Mickey And Friends Mickey And Pluto Retro Line T-Shirt","http://www.amazon.com//dp/B0823JM6RW","Visit the Disney Store","1","152","$22.99","Clothing, Shoes &amp; Jewelry","51,244","20","$460","1,393 ","4.6","-"
"13","Fishing Part Time Hooker Funny Bass Dad Father Day T-Shirt","http://www.amazon.com//dp/B0B1TG7SVP","Visit the CAT Store","1","313","$21.99","Clothing, Shoes &amp; Jewelry","71,760","18","$396","136 ","4.8","-"
"14","Disney Lilo &amp; Stitch Gamer Glitch Headset and Controller T-Shirt","http://www.amazon.com//dp/B097M9M3HD","Visit the Disney Store","1","267","$22.99","Clothing, Shoes &amp; Jewelry","60,441","19","$437","372 ","4.7","-"
